context,,
1,- Cancel processing for controlling them one by one,
2,- API: %s Version %s,
3,- expected CPTX: %1:s %0:s,
4,- available CPTX: %2:s %0:s %0:s,
5,- Creation of a transfer request,
6,- Record,
7,- Unknown error while transferring to accounting,
8,- Status of the storage area: %s,
9,- Register identifier: %s,
10,- Company's fiscal identifier: %s,
11,- Unit identification: %s,
12,- printing,
13,- The card must be the last expired and be closed at date,
14,- The associated loyalty program must have a configured renewal rule,
15,- Mark them all as not repaired (not repaired),
16,- Mark them all as repaired (repaired),
17,- Type of box: %s,
18,- Unit version: %s,
19,"""<<all>>""",
20,"""Non available""",
21,"""V"" - This peripheral will remain active",
22,“X” - This peripheral will be disabled,
23,Qty %,
24,Amount %,
25,% due,
26,Exp./order %,
27,Calculated %,
28,% Com,
29,% comm,
30,% Comm.for,
31,% Commission,
32,% Commission contributor,
33,% sales commission,
34,% Commission from,
35,% cum,
36,Total amount %,
37,% down payment/deposit,
38,% customer order,
39,% customer reservation,
40,% margin,
41,% of reference,
42,% price tolerance,
43,% dispatch,
44,% evolution,
45,% Sunday,
46,% of current inventory,
47,% business discount,
48,% evolution,
49,% Shrinkage,
50,% history day 1,
51,% history day 2,
52,% history day 3,
53,% history day 4,
54,% history day 5,
55,% history day 6,
56,% history day 7,
57,% historic,
58,% initials,
59,% Thursday,
60,% day 1,
61,% day 2,
62,% day 3,
63,% day 4,
64,% day 5,
65,% day 6,
66,% day 7,
67,% Width,
68,% Bar width,
69,% Monday,
70,% Tuesday,
71,% Margin,
72,% document margin,
73,Maximum division %,
74,% max level 2,
75,% max level 3,
76,Maximum %,
77,Maximum authorized %,
78,Maximum discount %,
79,% Wednesday,
80,% minimum margin,
81,Minimum discount %,
82,% minimum amount,
83,% minimum quantity,
84,% amount allotted,
85,% amount reserved,
86,% amount on installment no. 1,
87,% amount on installment no. 10,
88,% amount on installment no. 11,
89,% amount on installment no. 12,
90,% amount on installment no. 2,
91,% amount on installment no. 3,
92,% amount on installment no. 4,
93,% amount on installment no. 5,
94,% amount on installment no. 6,
95,% amount on installment no. 7,
96,% amount on installment no. 8,
97,% amount on installment no. 9,
98,% Prop loss,
99,Proportional loss in %,
100,% POS High,
101,% Qty 1,
102,% Qty 2,
103,% qty. allotted,
104,% qty. reserved,
105,Rec./order %,
106,% real,
107,% disc,
108,% discount,
109,Maximum discount %,
110,Min. discount %,
111,Minimum discount %,
112,% Bar shrinkage,
113,% entered,
114,% Saturday,
115,Inv./order %,
116,Inv./rec. %,
117,% occup. rate,
118,% projected,
119,% Value,
120,% discrepancy,
121,% Friday,
122,Sale %,
123,% sale/order,
124,%0:d of files found in %1:s,
125,%0:d pending receipt(s) found,
126,%0:s - %1:s,
127,%0:s - Store %1:s,
128,%0:s - Type %1:s - Gift certificate=%2:s,
129,%0:s - Type %1:s - Gift=%2:s,
130,%0:s - Type %1:s - Line %2:d - Item %3:s * %4:s - Amount=%5:s - Discount=%6:s,
131,%0:s - Type %1:s - Loyalty points x%2:s,
132,%0:s - Type %1:s - Loyalty points=%2:s,
133,%0:s - Type %1:s - Discount=%2:s,
134,"%0:s %% of the loyalty total, i.e. %1:s %2:s",
135,"%0:s %% of the loyalty total, i.e. %1:s %3:s, if the total of the receipt exceeds %2:s",
136,%0:s %% of the receipt,
137,"%0:s %% of the receipt, if the receipt total exceeds %1:s",
138,%0:s (%1:s) is different from the customer entered (%2:s).%3:sDo you want to keep the entered customer,
139,%0:s [%1:s] -> [%2:s],
140,%0:s items inventoried,
141,%0:s bank remittance slips have been marked as exported: %1:s,
142,%0:s card(s) found,
143,%0:s loyalty cards have been updated,
144,%0:s checks for an amount of %1:s,
145,%0:s document counters %1:s have been used by another user,
146,%0:s document(s) archived,
147,%0:s documents have been marked as exported: accounting reference %1:s,
148,%0:s element(s) w/ gaps out of %1:s,
149,%0:s stores to process,
150,%0:s stores loaded,
151,%0:s days(s) and %1:s,
152,%0:s day(s) and %1:s h,
153,%0:s day opened at a later date,
154,%0:s days opened at a later date,
155,%0:s lines exported in %1:s files,
156,%0:s no. %1:s - Processing failed,
157,%0:s no. %1:s created,
158,%0:s no. %1:s of store %2:s,
159,%0:s no. %1:s of store %2:s generated,
160,%0:s no. %1:s for supplier %2:s generated,
161,%0:s no. %1:s processed,
162,%0:s n°%1:s store %2:s : %3:s studied sales conditions,
163,%0:s number %1:s,
164,"%0:s with payment method ""%1:s""",
165,%0:s log %1:s # %2:s date %3:s stores %4:s third parties %5:s,
166,%0:s document %1:s number %2:s of store %3:s of %4:s,
167,%0:s type %1:s - Code %2:s exceeds the maximum length of the field (%3:s),
168,%0s records processed in %1s,
169,%d: inventory records were modified,
170,%d items corresponding to your criteria,
171,%d inventoried items,
172,%d referenced items,
173,%d connections,
174,%d interrupted connections,
175,%d document reopened,
176,%d document closed,
177,%d documents reopened,
178,%d documents closed,
179,%d documents have been transformed and determined via the following SQL request,
180,%d deleted exceptions,
181,%d of files to be decompressed,
182,%d of files to process,
183,%d identifier(s) are recalculated,
184,%d line reopened,
185,%d line closed,
186,%d lines reopened,
187,%d lines closed,
188,%d lines have been transformed and determined via the following SQL request,
189,%d received lines,
190,"%d Inventory list(s) deleted, %d inventory(ies) transmitted deleted",
191,%d call-back lists changed,
192,%d incorrect messages,
193,%d messages checked out of %d messages,
194,%d document have been reactivated,
195,%d package references received,
196,%d payments were already in the safe,
197,%d payments were uploaded successfully,
198,%d consolidations done (%s),
199,%d tax rates were created,
200,%d tax rates were purged with success,
201,%d tax rates were updated,
202,%d rates deleted,
203,%s - Currency change forbidden,
204,%s - Gift list change forbidden,
205,%s - Stock exchange change forbidden,
206,%s %s canceled. No processing authorized,
207,%s %s blocked. No processing authorized,
208,%s %s selected,
209,%s : No movements in this warehouse,
210,%s: Total of minimum inventory = %s | Total of maximum inventory = %s,
211,"%s has changed the status of the schedule from %s to %s for store %s on %s. The new status is ""%s""",
212,%s to realize,
213,%s calls to process today,
214,%s calls in progress,
215,%s postponed calls,
216,%s item(s) modified,
217,%s obsolete item(s),
218,%s obsolete item(s) selectable,
219,%s obsolete item(s) selected,
220,%s item(s)/BOM(s) are modified,
221,%s item(s)/BOM(s) are obsolete,
222,%s items do not support serial numbers. They are excluded from the list of processed items,
223,%s schedules will be generated. Are your sure,
224,%s customer(s) already present in the selected call-back list,
225,%s orders are available,
226,%s sales condition(s) applicable,
227,%s sales condition(s) applied,
228,%s of %s,
229,%s Warehouse %s Item,
230,%s available for %s loyalty points,
231,%s office or folder document(s) have been newly integrated with the database,
232,%s document(s) have been newly integrated with the database,
233,%s documents have been made non modifiable,
234,%s documents are awaiting generation,
235,%s documents are awaiting validation,
236,%s double(s) found,
237,%s duplicates found,
238,%s of the Tax Refund slip %s,
239,%s elements selected,
240,%s elements processed,
241,"%s of data will be studied, Do you want to continue?",
242,%s record(s) inserted,
243,%s record(s) modified,
244,%s record(s) returned,
245,%s record(s) deleted,
246,%s records processed,
247,%s record(s) found,
248,%s records have been modified,
249,%s records processed,
250,%s Error(s): %d,
251,%s is mandatory,
252,%s is an invalid Excel sheet name,
253,Invalid %s,
254,%s inventories in progress,
255,%s readings of %s aggregates in %s seconds,
256,%s document lines have been made non modifiable,
257,%s lines have been added,
258,%s updates of %s aggregates in %s seconds,
259,"%s no. %d, Date %s, Store %s - %s",
260,%s does not correspond to a valid date and time,
261,%s is not a correct time,
